Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000026,12-09-2025,Individual,Standard,Fashion,1404.91,Bangalore,Delhi,None
ORD000027,22-09-2025,SMB,Standard,Books,29.39,Bangalore,Bangkok,None
ORD000028,14-10-2025,SMB,Standard,Books,20435.93,Kolkata,Dubai,None
ORD000029,25-09-2025,SMB,Standard,Food & Beverage,211.41,Chennai,Singapore,None
ORD000030,19-10-2025,SMB,Standard,Food & Beverage,847.13,Delhi,Chennai,Fragile
ORD000031,27-09-2025,Enterprise,Economy,Fashion,1054.55,Mumbai,Bangkok,Temperature_Controlled
ORD000032,12-10-2025,Individual,Standard,Healthcare,118.85,Chennai,Dubai,None
ORD000033,28-09-2025,SMB,Economy,Electronics,6441.2,Delhi,Chennai,None
ORD000034,16-09-2025,Enterprise,Economy,Books,601.2,Mumbai,Dubai,Temperature_Controlled
ORD000035,15-09-2025,Enterprise,Express,Healthcare,292.89,Pune,Delhi,None
ORD000036,17-10-2025,SMB,Express,Industrial,496.59,Chennai,Hong Kong,Fragile
ORD000037,14-10-2025,SMB,Express,Books,1269.5,Chennai,Dubai,None
ORD000038,03-09-2025,Enterprise,Express,Books,410.02,Hyderabad,Singapore,None
ORD000039,07-10-2025,SMB,Express,Food & Beverage,1514.58,Bangalore,Dubai,Hazmat
ORD000040,07-09-2025,Enterprise,Standard,Electronics,32.22,Kolkata,Hyderabad,None
ORD000041,21-09-2025,SMB,Express,Electronics,131.37,Bangalore,Bangkok,None
ORD000042,09-09-2025,Enterprise,Standard,Home Goods,16.31,Mumbai,Bangkok,Fragile
ORD000043,09-10-2025,SMB,Economy,Home Goods,8066.8,Delhi,Bangalore,None
ORD000044,18-09-2025,SMB,Express,Home Goods,7910.83,Bangalore,Singapore,None
ORD000045,04-09-2025,Individual,Economy,Home Goods,1032.69,Kolkata,Pune,Hazmat
ORD000046,25-09-2025,Enterprise,Standard,Industrial,88.33,Mumbai,Singapore,None
ORD000047,14-09-2025,SMB,Express,Industrial,14542.31,Mumbai,Bangkok,Temperature_Controlled
ORD000048,20-10-2025,Enterprise,Standard,Books,162.94,Delhi,Hyderabad,None
ORD000049,09-09-2025,Individual,Standard,Fashion,293,Delhi,Hong Kong,None
ORD000050,26-09-2025,Individual,Economy,Food & Beverage,512.5,Kolkata,Delhi,None
ORD000051,02-09-2025,Enterprise,Economy,Food & Beverage,794.15,Delhi,Pune,None
ORD000052,20-09-2025,SMB,Economy,Home Goods,1059.66,Chennai,Hyderabad,Temperature_Controlled
ORD000053,28-09-2025,Individual,Standard,Books,1125.45,Bangalore,Hyderabad,Temperature_Controlled
ORD000054,17-10-2025,SMB,Express,Healthcare,324.8,Bangalore,Mumbai,None
ORD000055,07-09-2025,SMB,Economy,Fashion,1099,Hyderabad,Delhi,Fragile
ORD000056,14-10-2025,Enterprise,Economy,Books,303.74,Delhi,Singapore,None
ORD000057,08-09-2025,Enterprise,Economy,Fashion,961.94,Kolkata,Bangalore,None
ORD000058,17-10-2025,Individual,Standard,Fashion,850.6,Delhi,Hong Kong,None
ORD000059,05-10-2025,Individual,Standard,Fashion,1266.83,Delhi,Chennai,None
ORD000060,14-09-2025,SMB,Economy,Books,1050.42,Pune,Singapore,None
ORD000061,17-09-2025,SMB,Standard,Home Goods,207.75,Mumbai,Singapore,Fragile
ORD000062,06-10-2025,SMB,Economy,Food & Beverage,802.77,Mumbai,Bangalore,None
ORD000063,20-10-2025,Individual,Economy,Food & Beverage,1075.03,Kolkata,Singapore,None
ORD000064,10-10-2025,Individual,Standard,Home Goods,58.17,Mumbai,Bangkok,None
ORD000065,04-09-2025,Individual,Economy,Fashion,267.45,Hyderabad,Mumbai,None
ORD000066,02-09-2025,Individual,Economy,Healthcare,1004.43,Delhi,Pune,Fragile
ORD000067,06-09-2025,SMB,Express,Electronics,5239.28,Pune,Singapore,None
ORD000068,12-10-2025,Enterprise,Economy,Books,1390.4,Kolkata,Bangalore,None
ORD000069,04-09-2025,Enterprise,Standard,Electronics,5759.28,Chennai,Singapore,None
ORD000070,29-09-2025,Individual,Economy,Home Goods,221.95,Pune,Mumbai,None
ORD000071,18-09-2025,SMB,Standard,Healthcare,587.15,Delhi,Bangkok,None
ORD000072,26-09-2025,Enterprise,Economy,Books,1351,Pune,Bangkok,None
ORD000073,14-10-2025,Enterprise,Standard,Home Goods,12.31,Mumbai,Dubai,Fragile
ORD000074,04-10-2025,SMB,Express,Fashion,3890.16,Bangalore,Bangkok,Temperature_Controlled
ORD000075,10-09-2025,Enterprise,Economy,Food & Beverage,24.75,Delhi,Dubai,None
ORD000076,06-10-2025,Enterprise,Express,Electronics,1799.76,Bangalore,Hyderabad,None
ORD000077,14-09-2025,SMB,Standard,Industrial,1130.31,Mumbai,Hong Kong,None
ORD000078,01-10-2025,SMB,Economy,Industrial,12.07,Hyderabad,Chennai,None
ORD000079,18-10-2025,SMB,Economy,Healthcare,13.02,Hyderabad,Bangkok,None
ORD000080,15-09-2025,Enterprise,Standard,Fashion,3458.96,Pune,Hyderabad,None
ORD000081,08-09-2025,Individual,Standard,Electronics,2495.1,Mumbai,Ahmedabad,None
ORD000082,14-09-2025,Enterprise,Standard,Fashion,107.63,Chennai,Hyderabad,None
ORD000083,23-09-2025,SMB,Standard,Electronics,107.47,Bangalore,Bangkok,None
ORD000084,10-10-2025,Individual,Standard,Healthcare,870.36,Delhi,Hong Kong,None
ORD000085,21-09-2025,SMB,Standard,Healthcare,395.79,Delhi,Dubai,None
ORD000086,16-09-2025,Individual,Economy,Industrial,1961.75,Delhi,Chennai,None
ORD000087,15-10-2025,SMB,Economy,Fashion,828.3,Chennai,Ahmedabad,None
ORD000088,18-09-2025,SMB,Economy,Books,4335.3,Bangalore,Hong Kong,Fragile
ORD000089,17-10-2025,Enterprise,Express,Industrial,1728.69,Bangalore,Hong Kong,None
ORD000090,24-09-2025,SMB,Standard,Fashion,1189.35,Mumbai,Bangkok,Hazmat
ORD000091,26-09-2025,Enterprise,Express,Industrial,237.89,Mumbai,Hyderabad,None
ORD000092,25-09-2025,Enterprise,Standard,Books,213.15,Mumbai,Ahmedabad,Fragile
ORD000093,15-10-2025,Individual,Standard,Food & Beverage,373.29,Ahmedabad,Delhi,None
ORD000094,11-10-2025,SMB,Economy,Food & Beverage,6383.13,Mumbai,Kolkata,Fragile
ORD000095,29-09-2025,Individual,Standard,Food & Beverage,219.33,Mumbai,Bangalore,Fragile
ORD000096,15-09-2025,SMB,Express,Food & Beverage,596.33,Delhi,Ahmedabad,None
ORD000097,15-10-2025,Individual,Express,Home Goods,13.91,Kolkata,Delhi,None
ORD000098,01-09-2025,SMB,Economy,Electronics,1111.77,Ahmedabad,Bangkok,None
ORD000099,25-09-2025,SMB,Standard,Home Goods,11917.91,Kolkata,Mumbai,None
ORD000100,07-09-2025,SMB,Express,Home Goods,99.44,Chennai,Dubai,None
ORD000101,09-09-2025,Enterprise,Express,Home Goods,47177.07,Bangalore,Mumbai,None
ORD000102,24-09-2025,Individual,Economy,Food & Beverage,530.26,Mumbai,Singapore,None
ORD000103,01-09-2025,Enterprise,Express,Books,8.5,Pune,Delhi,None
ORD000104,14-10-2025,Enterprise,Economy,Healthcare,226.26,Kolkata,Singapore,Fragile
ORD000105,08-09-2025,SMB,Economy,Healthcare,2968.04,Chennai,Bangalore,None
ORD000106,24-09-2025,Enterprise,Express,Electronics,8094.79,Kolkata,Pune,Hazmat
ORD000107,11-09-2025,Individual,Express,Food & Beverage,1184.59,Kolkata,Bangalore,None
ORD000108,17-09-2025,Individual,Economy,Food & Beverage,4236.07,Chennai,Ahmedabad,None
ORD000109,08-09-2025,Individual,Standard,Food & Beverage,68.95,Ahmedabad,Hong Kong,None
ORD000110,05-10-2025,SMB,Standard,Industrial,145.42,Pune,Dubai,None
ORD000111,05-10-2025,Enterprise,Economy,Fashion,32.49,Chennai,Delhi,Fragile
ORD000112,03-10-2025,Individual,Economy,Industrial,162.78,Chennai,Hyderabad,None
ORD000113,05-09-2025,SMB,Economy,Fashion,1265.06,Mumbai,Pune,Fragile
ORD000114,12-10-2025,Individual,Economy,Food & Beverage,555.01,Chennai,Kolkata,None
ORD000115,09-10-2025,Individual,Standard,Food & Beverage,1482.93,Mumbai,Kolkata,None
ORD000116,11-10-2025,Individual,Express,Industrial,99.01,Bangalore,Kolkata,None
ORD000117,28-09-2025,Enterprise,Economy,Industrial,108.5,Ahmedabad,Delhi,None
ORD000118,07-09-2025,SMB,Standard,Fashion,548.35,Bangalore,Kolkata,None
ORD000119,09-09-2025,Individual,Standard,Healthcare,163.37,Bangalore,Bangkok,None
ORD000120,08-09-2025,SMB,Economy,Fashion,2843.45,Delhi,Mumbai,None
ORD000121,12-09-2025,Enterprise,Express,Industrial,157.41,Mumbai,Pune,None
ORD000122,04-10-2025,SMB,Standard,Books,191.89,Kolkata,Mumbai,None
ORD000123,03-10-2025,Individual,Express,Industrial,756.16,Mumbai,Hong Kong,None
ORD000124,18-10-2025,SMB,Standard,Books,224.99,Mumbai,Pune,None
ORD000125,23-09-2025,SMB,Express,Electronics,63.28,Delhi,Mumbai,None
ORD000126,24-09-2025,Enterprise,Express,Industrial,77.55,Kolkata,Pune,None
ORD000127,07-10-2025,SMB,Express,Electronics,903.84,Kolkata,Hong Kong,None
ORD000128,05-10-2025,Individual,Standard,Healthcare,52.56,Mumbai,Singapore,None
ORD000129,14-10-2025,Enterprise,Economy,Fashion,3280.49,Bangalore,Bangkok,None
ORD000130,10-10-2025,SMB,Standard,Books,143.22,Bangalore,Delhi,None
ORD000131,22-09-2025,Individual,Economy,Fashion,1016.71,Chennai,Delhi,Temperature_Controlled
ORD000132,27-09-2025,Individual,Standard,Electronics,156.71,Chennai,Kolkata,None
ORD000133,05-10-2025,SMB,Standard,Books,102.22,Delhi,Bangkok,None
ORD000134,01-09-2025,Individual,Economy,Fashion,583.56,Bangalore,Chennai,None
ORD000135,05-10-2025,SMB,Standard,Industrial,1954.08,Bangalore,Kolkata,None
ORD000136,07-10-2025,Enterprise,Economy,Food & Beverage,278.37,Hyderabad,Ahmedabad,None
ORD000137,17-10-2025,Individual,Express,Electronics,365.69,Bangalore,Bangkok,None
ORD000138,14-09-2025,Individual,Economy,Fashion,1354.42,Delhi,Mumbai,Temperature_Controlled
ORD000139,03-09-2025,Individual,Express,Electronics,1423.38,Delhi,Pune,None
ORD000140,01-09-2025,Individual,Economy,Home Goods,380.8,Bangalore,Chennai,None
ORD000141,05-09-2025,SMB,Standard,Electronics,207.43,Kolkata,Bangkok,None
ORD000142,26-09-2025,SMB,Economy,Books,456.68,Bangalore,Hong Kong,None
ORD000143,14-09-2025,Individual,Express,Home Goods,302.97,Chennai,Ahmedabad,None
ORD000144,09-10-2025,SMB,Standard,Books,645.14,Kolkata,Hong Kong,None
ORD000145,27-09-2025,Individual,Economy,Food & Beverage,67.26,Bangalore,Delhi,None
ORD000146,09-09-2025,Individual,Standard,Home Goods,611.41,Delhi,Bangalore,Temperature_Controlled
ORD000147,15-09-2025,Individual,Standard,Industrial,137.35,Hyderabad,Chennai,None
ORD000148,15-09-2025,SMB,Standard,Electronics,1570,Delhi,Mumbai,None
ORD000149,26-09-2025,SMB,Standard,Fashion,147.13,Bangalore,Chennai,None
ORD000150,12-10-2025,Enterprise,Standard,Healthcare,151.01,Ahmedabad,Dubai,None
ORD000151,13-09-2025,SMB,Standard,Electronics,786.9,Mumbai,Ahmedabad,None
ORD000152,02-10-2025,Enterprise,Economy,Electronics,412.12,Mumbai,Ahmedabad,None
ORD000153,09-10-2025,SMB,Express,Food & Beverage,12270.8,Delhi,Bangkok,Fragile
ORD000154,19-10-2025,SMB,Standard,Industrial,35.02,Pune,Chennai,Fragile
ORD000155,02-10-2025,Enterprise,Economy,Healthcare,475.7,Mumbai,Bangalore,None
ORD000156,04-09-2025,SMB,Economy,Home Goods,2196.18,Mumbai,Kolkata,Temperature_Controlled
ORD000157,30-09-2025,Enterprise,Standard,Home Goods,169.45,Mumbai,Pune,None
ORD000158,07-10-2025,Enterprise,Standard,Home Goods,102.94,Mumbai,Bangkok,None
ORD000159,23-09-2025,Individual,Standard,Books,109.26,Mumbai,Bangkok,None
ORD000160,09-10-2025,SMB,Express,Books,35.95,Bangalore,Chennai,Hazmat
ORD000161,15-10-2025,Enterprise,Standard,Fashion,3055.07,Bangalore,Mumbai,None
ORD000162,15-09-2025,SMB,Standard,Healthcare,246.06,Delhi,Singapore,None
ORD000163,13-10-2025,Individual,Standard,Home Goods,206.02,Delhi,Hyderabad,None
ORD000164,29-09-2025,Enterprise,Express,Books,16.67,Mumbai,Hyderabad,None
ORD000165,06-10-2025,SMB,Economy,Fashion,46.97,Delhi,Bangkok,None
ORD000166,13-09-2025,Enterprise,Economy,Industrial,3633.98,Bangalore,Kolkata,None
ORD000167,02-10-2025,Enterprise,Standard,Fashion,635.66,Kolkata,Pune,None
ORD000168,07-09-2025,SMB,Standard,Books,2320.99,Mumbai,Chennai,None
ORD000169,22-09-2025,SMB,Standard,Food & Beverage,1919.82,Bangalore,Dubai,None
ORD000170,28-09-2025,SMB,Economy,Food & Beverage,89.93,Delhi,Hyderabad,None
ORD000171,02-09-2025,Individual,Standard,Home Goods,15440.85,Hyderabad,Bangalore,None
ORD000172,12-10-2025,Individual,Express,Food & Beverage,7514.57,Chennai,Bangkok,None
ORD000173,15-10-2025,SMB,Economy,Home Goods,173.18,Bangalore,Mumbai,None
ORD000174,06-09-2025,SMB,Economy,Home Goods,1.91,Delhi,Hong Kong,None
ORD000175,28-09-2025,Individual,Economy,Books,236.32,Pune,Hyderabad,None
ORD000176,28-09-2025,Enterprise,Economy,Food & Beverage,576.77,Mumbai,Bangalore,Hazmat
ORD000177,14-10-2025,SMB,Standard,Home Goods,172.16,Mumbai,Chennai,None
ORD000178,14-10-2025,Enterprise,Standard,Healthcare,289.37,Delhi,Mumbai,None
ORD000179,20-09-2025,Enterprise,Economy,Industrial,116.4,Mumbai,Dubai,None
ORD000180,30-09-2025,Individual,Economy,Fashion,1607.53,Pune,Singapore,None
ORD000181,11-09-2025,Individual,Express,Fashion,443.83,Kolkata,Delhi,None
ORD000182,28-09-2025,SMB,Express,Books,1681.21,Delhi,Bangkok,None
ORD000183,25-09-2025,SMB,Standard,Food & Beverage,2523.26,Bangalore,Singapore,None
ORD000184,09-10-2025,Enterprise,Economy,Food & Beverage,15.46,Ahmedabad,Dubai,None
ORD000185,03-10-2025,Enterprise,Economy,Home Goods,127,Hyderabad,Mumbai,Temperature_Controlled
ORD000186,01-09-2025,Enterprise,Express,Electronics,158.22,Chennai,Hyderabad,Fragile
ORD000187,27-09-2025,SMB,Standard,Home Goods,19092.65,Pune,Singapore,None
ORD000188,13-09-2025,Individual,Standard,Industrial,504.47,Ahmedabad,Bangkok,None
ORD000189,11-10-2025,SMB,Economy,Healthcare,1364.91,Kolkata,Delhi,Fragile
ORD000190,03-09-2025,Enterprise,Economy,Fashion,24.02,Mumbai,Kolkata,None
ORD000191,09-10-2025,Individual,Economy,Home Goods,500.11,Delhi,Ahmedabad,None
ORD000192,06-09-2025,Individual,Standard,Electronics,1750.12,Hyderabad,Bangalore,Hazmat
ORD000193,08-09-2025,SMB,Standard,Electronics,1469.9,Mumbai,Hyderabad,None
ORD000194,27-09-2025,SMB,Standard,Home Goods,1027.72,Hyderabad,Singapore,None
ORD000195,09-09-2025,SMB,Express,Books,411.37,Mumbai,Hong Kong,Hazmat
ORD000196,07-10-2025,Enterprise,Economy,Fashion,442.46,Mumbai,Chennai,None
ORD000197,03-10-2025,SMB,Economy,Books,31.82,Delhi,Kolkata,None
ORD000198,12-10-2025,Individual,Economy,Healthcare,104.5,Mumbai,Dubai,None
ORD000199,14-10-2025,Enterprise,Economy,Electronics,570.44,Pune,Ahmedabad,Fragile
ORD000200,24-09-2025,Enterprise,Standard,Electronics,137.83,Hyderabad,Mumbai,Temperature_Controlled
